phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy Xcover 4s,5.0,260,2019,146.2,73.3,9.7,6.07,0.643,1,921600.0,1,2800.0,5,0,0.91,32768.0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy M40,6.3,200,2019,155.3,73.9,7.9,5.93,0.8490000000000001,1,2527200.0,1,3500.0,5,1,0.27,131072.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy S10+,6.4,830,2019,157.6,74.1,7.8,6.17,0.889,1,4377600.0,1,4100.0,5,1,0.52,524288.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Galaxy S10,6.1,660,2019,149.9,70.4,7.8,5.54,0.883,1,4377600.0,1,3400.0,5,1,0.48,524288.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Galaxy S10e,5.8,560,2019,142.2,69.9,7.9,5.29,0.833,1,2462400.0,1,3100.0,5,1,0.58,262144.0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Galaxy A2 Core,5.0,70,2019,141.6,71.0,9.1,5.01,0.6859999999999999,1,518400.0,1,2600.0,4,0,0.53,16384.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy M30,6.4,260,2019,159.0,75.1,8.5,6.14,0.8420000000000001,1,2527200.0,1,5000.0,5,1,0.5218382352941175,131072.0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy M20,6.3,230,2019,156.4,74.5,8.8,6.56,0.836,1,2527200.0,1,5000.0,5,1,0.25,65536.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy M10,6.22,100,2019,155.6,75.6,7.7,5.75,0.821,1,1094400.0,1,3400.0,4,0,0.24,32768.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy A80,6.7,650,2019,165.2,76.5,9.3,7.76,0.858,1,2592000.0,0,3700.0,5,1,0.22,131072.0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
