Unnamed: 0,0
Galaxy Tab A 8.0 (2019),189
Galaxy Xcover 4s,294
Galaxy M40,409
Galaxy View2,127
Galaxy S10 5G,502
Galaxy S10+,522
Galaxy S10,550
Galaxy S10e,438
Galaxy Fold,362
Galaxy A2 Core,220
Galaxy M30,403
Galaxy M20,409
Galaxy M10,270
Galaxy A80,393
Galaxy A70,393
Galaxy A60,409
Galaxy A50,403
Galaxy A40,437
Galaxy A30,403
Galaxy A20e,296
Galaxy A20,268
Galaxy A10,271
Galaxy Tab S5e,288
Galaxy Tab A 10.1 (2019),224
Galaxy Tab A 8.0 & S Pen (2019),283
Galaxy Tab A 8.0 (2018),189
Galaxy Tab S4 10.5,287
Galaxy Tab A 10.5,216
Galaxy A8s,403
Galaxy A6s,402
Galaxy A9 (2018),393
Galaxy A7 (2018),411
Galaxy Note9,516
Galaxy Watch,278
Galaxy J6+,274
Galaxy J4 Core,274
Galaxy J4+,274
Galaxy J2 Core,220
Galaxy On6,294
Galaxy J7 (2018),267
Galaxy J3 (2018),294
Galaxy A8 Star (A9 Star),392
Galaxy S Light Luxury,426
Galaxy J8,274
Galaxy J6,293
Galaxy J4,267
Galaxy A6+ (2018),411
Galaxy A6 (2018),294
Galaxy J7 Duo,267
Galaxy J7 Prime 2,401
Galaxy S9+,529
Galaxy S9,570
Galaxy J2 Pro (2018),220
Galaxy A8+ (2018),411
Galaxy A8 (2018),441
Galaxy J2 (2017),234
Galaxy Tab Active 2,189
Galaxy Tab A 8.0 (2017),189
Galaxy C7 (2017),401
Galaxy Note8,521
Galaxy S8 Active,568
Galaxy J7 V,267
Galaxy Note FE,515
Galaxy J7 Max,386
Galaxy J7 Pro,401
Galaxy J7 (2017),401
Galaxy J5 (2017),282
Galaxy J3 (2017),294
Galaxy Folder2,246
Z4,207
Galaxy S8,570
Galaxy S8+,529
Gear S3 classic LTE,392
Galaxy C5 Pro,424
Galaxy Xcover 4,294
Galaxy Tab S3 9.7,264
Galaxy J1 mini prime,233
Galaxy J3 Emerge,294
Galaxy C7 Pro,386
Galaxy A7 (2017),386
Galaxy A5 (2017),424
Galaxy A3 (2017),312
Galaxy Grand Prime Plus,220
Galaxy J2 Prime,220
Galaxy C9 Pro,367
Galaxy A8 (2016),386
Galaxy On8,401
Galaxy On7 (2016),401
Gear S3 frontier LTE,278
Galaxy J5 Prime,294
Galaxy J7 Prime,401
Z2,233
Galaxy Note7 (USA),515
Galaxy Note7,518
Galaxy On7 Pro,267
Galaxy On5 Pro,294
Galaxy Tab J,216
Galaxy J Max,216
Galaxy J2 Pro (2016),294
Galaxy J2 (2016),294
Z3 Corporate,294
Galaxy Xcover 3 G389F,207
Galaxy S7 active,576
Galaxy J3 Pro,294
Galaxy C7,386
Galaxy C5,424
Galaxy A9 Pro (2016),367
Galaxy J7 (2016),267
Galaxy J5 (2016),282
Galaxy Tab A 10.1 (2016),224
Galaxy Tab A 7.0 (2016),216
Galaxy S7,577
Galaxy S7 edge,534
Galaxy S7 edge (USA),534
Galaxy S7 (USA),576
Galaxy J1 Nxt,233
Gear S2 classic 3G,424
Galaxy Tab E 8.0,189
Galaxy J1 (2016),207
Galaxy A9 (2016),367
Galaxy A7 (2016),401
Galaxy A5 (2016),424
Galaxy A3 (2016),312
Galaxy Express Prime,294
Galaxy J3 (2016),294
Galaxy View,120
Galaxy On7,267
Galaxy On5,288
Z3,294
Galaxy J1 Ace,217
Gear S2 3G,302
Galaxy Note5 (USA),515
Galaxy Note5,518
Galaxy Note5 Duos,515
Galaxy S6 edge+ (USA),515
Galaxy S6 edge+,518
Galaxy S6 edge+ Duos,515
Galaxy S5 Neo,432
Galaxy S4 mini I9195I,256
Galaxy Folder,246
Galaxy Tab S2 9.7,264
Galaxy Tab S2 8.0,320
Galaxy A8 Duos,386
Galaxy A8,386
Galaxy V Plus,233
Galaxy J7,267
Galaxy J7 Nxt,267
Galaxy J5,294
Galaxy Tab E 9.6,157
Xcover 550,167
Galaxy S6 active,576
Galaxy Tab 3 V,170
Galaxy Tab A 9.7 & S Pen,132
Galaxy Tab A 9.7,132
Galaxy Tab A 8.0 & S Pen (2015),160
Galaxy Tab A 8.0 (2015),160
Galaxy Xcover 3,207
Galaxy S6 edge (USA),576
Galaxy S6 (USA),576
Galaxy S6 edge,577
