,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
Galaxy Tab A 8.0 (2019),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300), 41(2500)","HSPA, LTE Cat4 150/50 Mbps","2019, July","Available. Released 2019, July",210 x 124.4 x 8 mm (8.27 x 4.90 x 0.31 in),"345g (Wi-Fi), 347g (LTE) (12.24 oz)","Front glass, aluminum back, plastic ends and frame",Nano-SIM,"TFT capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~71.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 9.0 (Pie),Qualcomm SDM429 Snapdragon 429,Quad-core 2.0 GHz Cortex-A53,Adreno 504,"microSD, up to 1 TB","32 GB, 2 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",microUSB 2.0,Accelerometer,Non-removable Li-Po 5100 mAh battery,0.75 W/kg (head) 1.19 W/kg (body),About 130 EUR,,,,,,,,,,,,,,,,,Non-removable
Galaxy Xcover 4s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2019, June","Available. Released 2019, July",146.2 x 73.3 x 9.7 mm (5.76 x 2.89 x 0.38 in),172 g (6.07 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 9.0 (Pie),Exynos 7885 (14 nm),Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Accelerometer, proximity, compass",Removable Li-Ion 2800 mAh battery,0.91 W/kg (head) 1.31 W/kg (body),About 260 EUR,"LED flash, HDR, panorama",Yes,,,,,,,,,,,,,,,Removable
Galaxy M40,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","2019, June","Available. Released 2019, June",155.3 x 73.9 x 7.9 mm (6.11 x 2.91 x 0.31 in),168 g (5.93 oz),"Front glass, plastic body","Hybrid Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~84.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",Android 9.0 (Pie); One UI,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"microSD, up to 1 TB (uses shared SIM slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","16 MP, f/2.0",1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3500 mAh battery,0.27 W/kg (head) 1.17 W/kg (body),About 200 EUR,HDR,Yes,Corning Gorilla Glass (unspecified),"32 MP, f/1.7, 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1.12µm, PDAF 5 MP, f/2.2, depth sensor",Fast battery charging 15W,0.20 W/kg (head),,,,,,,,,,,Non-removable
Galaxy View2,HSPA / LTE,,HSDPA 900 / 2100 - Global,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - Global","HSPA, LTE-A","2019, April","Available. Released 2019, April",417.1 x 263.4 x 17.3 mm (16.42 x 10.37 x 0.68 in),2.23 kg (4.92 lb),,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","17.3 inches, 825.1 cm2 (~75.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~127 ppi density)",Android 8.1 (Oreo),Exynos 7884 (14 nm),Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 400 GB (dedicated slot)","64 GB, 3 GB RAM",5 MP,2160p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS","2.0, Type-C 1.0 reversible connector",Accelerometer,Non-removable Li-Po 12000 mAh battery,,About 660 EUR,,,,,,1.14 W/kg (body),,,,,,,,,,,Non-removable
Galaxy S10 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),HSDPA 850 / 900 / 1900 / 2100 - USA,"LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500), 46, 48, 66(1700/2100) - USA","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps; 5G (2+ Gbps DL)","2019, February","Available. Released 2019, April",162.6 x 77.1 x 7.9 mm (6.40 x 3.04 x 0.31 in),198 g (6.98 oz),"Front/back glass (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.7 inches, 112.0 cm2 (~89.4% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~502 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - GlobalQualcomm SDM855 Snapdragon 855 (7 nm) - USA,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA,Mali-G76 MP12 - GlobalAdreno 640 - USA,No,"256/512 GB, 8 GB RAM",,"2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 4500 mAh battery,0.26 W/kg (head) 1.55 W/kg (body),About 1160 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 6,,Fast battery charging 25W (USB Power Delivery 3.0) Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.46 W/kg (head) 1.59 W/kg (body),5G NSA / Sub6 / mmWave; N78,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide) TOF 3D camera","10 MP, f/1.9, 26mm (wide), Dual Pixel PDAF TOF camera",,,,,,,,Non-removable
Galaxy S10+,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global, USA","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps","2019, February","Available. Released 2019, March",157.6 x 74.1 x 7.8 mm (6.20 x 2.92 x 0.31 in),175 g / 198 g (ceramic) (6.17 oz),"Front glass (Gorilla Glass 6), back glass (Gorilla Glass 5), aluminum frameFront glass (Gorilla Glass 6), ceramic body","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.4 inches, 103.8 cm2 (~88.9% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~522 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China,"microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","1 TB, 12 GB RAM, 128/512 GB, 8 GB RAM",,"2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 4100 mAh battery,0.52 W/kg (head) 1.58 W/kg (body),About 830 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 6,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,1.06 W/kg (head) 1.03 W/kg (body),,,"10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF 8 MP, f/2.2, 22mm (wide), 1.12µm, depth sensor",Basemark OS II: 4426 / Basemark OS II 2.0: 4568Basemark X: 45017,"Contrast ratio: Infinite (nominal), 4.514 (sunlight)",Photo / Video,Noise -93.0dB / Crosstalk -94.3dB,,,,Non-removable
Galaxy S10,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global, USA","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps","2019, February","Available. Released 2019, March",149.9 x 70.4 x 7.8 mm (5.90 x 2.77 x 0.31 in),157 g (5.54 oz),"Back glass (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.1 inches, 93.2 cm2 (~88.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~550 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China,"microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","128/512 GB, 8 GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF","2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3400 mAh battery,0.48 W/kg (head) 1.59 W/kg (body),About 660 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 6,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.93 W/kg (head) 0.79 W/kg (body),,,,Basemark OS II: 4539 / Basemark OS II 2.0: 4465Basemark X: 44097,"Contrast ratio: Infinite (nominal), 4.498 (sunlight)",Photo / Video,Noise -92.2dB / Crosstalk -92.7dB,,,,Non-removable
Galaxy S10e,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Global, USA","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Global","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/150 Mbps","2019, February","Available. Released 2019, March",142.2 x 69.9 x 7.9 mm (5.60 x 2.75 x 0.31 in),150 g (5.29 oz),"Front/back glass (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","5.8 inches, 82.8 cm2 (~83.3% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~438 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China,"microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","256 GB, 8 GB RAM or 128 GB, 6 GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF","2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",Type-C 1.0 reversible connector,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Ion 3100 mAh battery,0.58 W/kg (head) 1.57 W/kg (body),About 560 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 5,,Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.56 W/kg (head) 0.70 W/kg (body),,,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Basemark OS II: 4286 / Basemark OS II 2.0: 4470Basemark X: 44059,Contrast ratio: infinite,Photo / Video,Noise -92.9dB / Crosstalk -89.4dB,,,,Non-removable
Galaxy Fold,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500), 46, 66(1700/2100), 71(600) - SM-F900U","HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps; 5G (2+ Gbps DL)","2019, February","Coming soon. Exp. release 2019, September",Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,263 g (9.28 oz),,"Nano-SIM, Electronic SIM card (eSIM)Nano-SIM - 5G model","Dynamic AMOLED capacitive touchscreen, 16M colors","7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)",1536 x 2152 pixels (~362 ppi density),Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"512 GB, 12 GB RAM",,"2160p@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS","3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Po 4380 mAh battery,0.49 W/kg (head) 1.58 W/kg (body),About 1750 EUR,HDR,Yes,,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.41 W/kg (head) 1.39 W/kg (body),5G NSA / Sub6 - only 5G model,,"10 MP, f/2.2, 26mm (wide), 1.22µm 8 MP, f/1.9, 24mm (wide), 1.22µm, depth sensor Cover camera: 10 MP, f/2.2, 26mm (wide), 1.22µm",Basemark OS II: 8072 / Basemark OS II 2.0: 4527Basemark X: 45154,Contrast ratio: 185000:1 (nominal),Photo / Video,,,,,Non-removable
Galaxy Watch Active,No cellular connectivity,,,,,"2019, February","Available. Released 2019, April",39.5 x 39.5 x 10.5 mm (1.56 x 1.56 x 0.41 in),25 g (0.88 oz),,No,"Super AMOLED capacitive touchscreen, 16M colors","1.1 inches, 9.2 cm2 (~58.8% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)",Tizen-based wearable OS 4.0,Exynos 9110 (10 nm),Dual-core 1.15 GHz Cortex-A53,Mali-T720,No,"4 GB, 768 MB RAM",,,No,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE","Yes, with GLONASS, GALILEO, BDS",No,"Accelerometer, gyro, heart rate, barometer",Non-removable Li-Ion 230 mAh battery,,About 210 EUR,,Yes,Corning Gorilla Glass 3,,Qi wireless charging,,,,,,,,,No,No,,Non-removable
