Unnamed: 0,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,Unnamed: 29,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B,tech_gsm,tech_hspa,tech_lte,tech_cdma,tech_evdo,tech_5g,tech_umts,tech_cdma2000,screen_size,paresed_price,high_speed|0,high_speed|1,low_speed|0,low_speed|1
Galaxy Xcover 4s,"2019, June","Available. Released 2019, July",146.2 x 73.3 x 9.7 mm (5.76 x 2.89 x 0.38 in),172 g (6.07 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 9.0 (Pie),Exynos 7885 (14 nm),Octa-core (2x1.6 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","32 GB, 3 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Accelerometer, proximity, compass",Removable Li-Ion 2800 mAh battery,0.91 W/kg (head) 1.31 W/kg (body),About 260 EUR,"LED flash, HDR, panorama",Yes,,,,,,,,,,,,,,,Removable,1,1,1,0,0,0,0,0,5.0,260,42.2,300,5.76,50
Galaxy M40,"2019, June","Available. Released 2019, June",155.3 x 73.9 x 7.9 mm (6.11 x 2.91 x 0.31 in),168 g (5.93 oz),"Front glass, plastic body","Hybrid Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~84.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",Android 9.0 (Pie); One UI,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"microSD, up to 1 TB (uses shared SIM slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","16 MP, f/2.0",1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3500 mAh battery,0.27 W/kg (head) 1.17 W/kg (body),About 200 EUR,HDR,Yes,Corning Gorilla Glass (unspecified),"32 MP, f/1.7, 0.8µm, PDAF 8 MP, f/2.2, 12mm (ultrawide), 1.12µm, PDAF 5 MP, f/2.2, depth sensor",Fast battery charging 15W,0.20 W/kg (head),,,,,,,,,,,Non-removable,1,1,1,0,0,0,0,0,6.3,200,42.2,400,5.76,50
Galaxy S10 5G,"2019, February","Available. Released 2019, April",162.6 x 77.1 x 7.9 mm (6.40 x 3.04 x 0.31 in),198 g (6.98 oz),"Front/back glass (Gorilla Glass 6), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.7 inches, 112.0 cm2 (~89.4% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~502 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - GlobalQualcomm SDM855 Snapdragon 855 (7 nm) - USA,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA,Mali-G76 MP12 - GlobalAdreno 640 - USA,No,"256/512 GB, 8 GB RAM",,"2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 4500 mAh battery,0.26 W/kg (head) 1.55 W/kg (body),About 1160 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 6,,Fast battery charging 25W (USB Power Delivery 3.0) Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.46 W/kg (head) 1.59 W/kg (body),5G NSA / Sub6 / mmWave; N78,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide) TOF 3D camera","10 MP, f/1.9, 26mm (wide), Dual Pixel PDAF TOF camera",,,,,,,,Non-removable,1,1,1,1,1,1,0,0,6.7,1160,42.2,2000,5.76,150
Galaxy S10+,"2019, February","Available. Released 2019, March",157.6 x 74.1 x 7.8 mm (6.20 x 2.92 x 0.31 in),175 g / 198 g (ceramic) (6.17 oz),"Front glass (Gorilla Glass 6), back glass (Gorilla Glass 5), aluminum frameFront glass (Gorilla Glass 6), ceramic body","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.4 inches, 103.8 cm2 (~88.9% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~522 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China,"microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","1 TB, 12 GB RAM, 128/512 GB, 8 GB RAM",,"2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 4100 mAh battery,0.52 W/kg (head) 1.58 W/kg (body),About 830 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 6,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,1.06 W/kg (head) 1.03 W/kg (body),,,"10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF 8 MP, f/2.2, 22mm (wide), 1.12µm, depth sensor",Basemark OS II: 4426 / Basemark OS II 2.0: 4568Basemark X: 45017,"Contrast ratio: Infinite (nominal), 4.514 (sunlight)",Photo / Video,Noise -93.0dB / Crosstalk -94.3dB,,,,Non-removable,1,1,1,1,1,0,0,0,6.4,830,42.2,2000,5.76,150
Galaxy S10,"2019, February","Available. Released 2019, March",149.9 x 70.4 x 7.8 mm (5.90 x 2.77 x 0.31 in),157 g (5.54 oz),"Back glass (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","6.1 inches, 93.2 cm2 (~88.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~550 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China,"microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","128/512 GB, 8 GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF","2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO","3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3400 mAh battery,0.48 W/kg (head) 1.59 W/kg (body),About 660 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 6,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.93 W/kg (head) 0.79 W/kg (body),,,,Basemark OS II: 4539 / Basemark OS II 2.0: 4465Basemark X: 44097,"Contrast ratio: Infinite (nominal), 4.498 (sunlight)",Photo / Video,Noise -92.2dB / Crosstalk -92.7dB,,,,Non-removable,1,1,1,1,1,0,0,0,6.1,660,42.2,2000,5.76,150
Galaxy S10e,"2019, February","Available. Released 2019, March",142.2 x 69.9 x 7.9 mm (5.60 x 2.75 x 0.31 in),150 g (5.29 oz),"Front/back glass (Gorilla Glass 5), aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Dynamic AMOLED capacitive touchscreen, 16M colors","5.8 inches, 82.8 cm2 (~83.3% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~438 ppi density)",Android 9.0 (Pie); One UI,Exynos 9820 (8 nm) - EMEA/LATAMQualcomm SDM855 Snapdragon 855 (7 nm) - USA/China,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.31 GHz Cortex-A75 & 4x1.95 GHz Cortex-A55) - EMEA/LATAMOcta-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485) - USA/China,Mali-G76 MP12 - EMEA/LATAM Adreno 640 - USA/China,"microSD, up to 1 TB (uses shared SIM slot) - dual SIM model only","256 GB, 8 GB RAM or 128 GB, 6 GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF","2160p@30fps, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS, GALILEO",Type-C 1.0 reversible connector,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Ion 3100 mAh battery,0.58 W/kg (head) 1.57 W/kg (body),About 560 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 5,,Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.56 W/kg (head) 0.70 W/kg (body),,,"12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Basemark OS II: 4286 / Basemark OS II 2.0: 4470Basemark X: 44059,Contrast ratio: infinite,Photo / Video,Noise -92.9dB / Crosstalk -89.4dB,,,,Non-removable,1,1,1,1,1,0,0,0,5.8,560,42.2,2000,5.76,150
Galaxy Fold,"2019, February","Coming soon. Exp. release 2019, September",Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,263 g (9.28 oz),,"Nano-SIM, Electronic SIM card (eSIM)Nano-SIM - 5G model","Dynamic AMOLED capacitive touchscreen, 16M colors","7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)",1536 x 2152 pixels (~362 ppi density),Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"512 GB, 12 GB RAM",,"2160p@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS","3.1, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Po 4380 mAh battery,0.49 W/kg (head) 1.58 W/kg (body),About 1750 EUR,HDR,Yes,,"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS 12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom 16 MP, f/2.2, 12mm (ultrawide), 1.0µm",Fast battery charging 15W Fast wireless charging 15W Power bank/Reverse wireless charging 9W,0.41 W/kg (head) 1.39 W/kg (body),5G NSA / Sub6 - only 5G model,,"10 MP, f/2.2, 26mm (wide), 1.22µm 8 MP, f/1.9, 24mm (wide), 1.22µm, depth sensor Cover camera: 10 MP, f/2.2, 26mm (wide), 1.22µm",Basemark OS II: 8072 / Basemark OS II 2.0: 4527Basemark X: 45154,Contrast ratio: 185000:1 (nominal),Photo / Video,,,,,Non-removable,1,1,1,0,0,1,0,0,7.3,1750,42.2,1200,5.76,150
Galaxy A2 Core,"2019, April","Available. Released 2019, April",141.6 x 71 x 9.1 mm (5.57 x 2.80 x 0.36 in),142 g (5.01 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 8.0 Oreo (Go edition),Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1 GB RAM","5 MP, f/2.2",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.53 W/kg (head) 1.09 W/kg (body),About 70 EUR,"LED flash, HDR",,,,,,,,,,,,,,,,Removable,1,1,1,0,0,0,0,0,5.0,70,42.2,150,5.76,50
Galaxy M30,"2019, February","Available. Released 2019, March",159 x 75.1 x 8.5 mm (6.26 x 2.96 x 0.33 in),174 g (6.14 oz),"Front glass, plastic body","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI",Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","128 GB, 6 GB RAM or 64 GB, 4 GB RAM","16 MP, f/2.0",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,,About 260 EUR,HDR,,,"13 MP, f/1.9, PDAF 5 MP, f/2.2, 12mm (ultrawide) 5 MP, f/2.2, depth sensor",Fast battery charging 15W,0.41 W/kg (head),,,,Basemark OS II: 1956 / Basemark OS II 2.0: 1432Basemark X: 12223,Contrast ratio: Infinite (nominal),Photo / Video,Noise -90.5dB / Crosstalk -90.0dB,,,,Non-removable,1,1,1,0,0,0,0,0,6.4,260,,,,
Galaxy M20,"2019, January","Available. Released 2019, February",156.4 x 74.5 x 8.8 mm (6.16 x 2.93 x 0.35 in),186 g (6.56 oz),"Front glass, plastic body","Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~83.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); One UI",Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71 MP2,"microSD, up to 1 TB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","8 MP, f/2.0, 25mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,0.25 W/kg (head) 1.59 W/kg (body),About 230 EUR,HDR,,,,Fast battery charging 15W,,,,"13 MP, f/1.9, 1/3.1"", 1.12µm, PDAF 5 MP, f/2.2, 12mm (ultrawide)",Basemark OS II: 2025 / Basemark OS II 2.0: 1846Basemark X: 8434,"Contrast ratio: 1333:1 (nominal), 2.960 (sunlight)",Photo / Video,Noise -90.5dB / Crosstalk -91.7dB,,,,Non-removable,1,1,1,0,0,0,0,0,6.3,230,42.2,600,5.76,50
